Country,Confirmed,Deaths,Hosp_patients,Vaccinations,Vaccinated_Once,Vaccinated_Full,Vaccinated_Booster,Date
United Kingdom,128685.0,18.0,0.0,378480.0,51705406.0,47324308.0,33091891.0,28_12_2021
United Kingdom,318699.0,146.0,0.0,315382.0,51681547.0,47294774.0,32766804.0,27_12_2021
United Kingdom,0.0,0.0,0.0,27002.0,51663356.0,47271068.0,32493319.0,26_12_2021
United Kingdom,0.0,0.0,0.0,12352.0,51661421.0,47268984.0,32470336.0,25_12_2021
United Kingdom,121810.0,137.0,0.0,194107.0,51660466.0,47268067.0,32459856.0,24_12_2021
United Kingdom,122760.0,147.0,0.0,682212.0,51649696.0,47254099.0,32290487.0,23_12_2021
United Kingdom,105626.0,141.0,8240.0,932501.0,51617091.0,47210053.0,31684926.0,22_12_2021
United Kingdom,89298.0,173.0,8027.0,1062705.0,51577782.0,47156899.0,30844888.0,21_12_2021
United Kingdom,92371.0,43.0,7825.0,988710.0,51537827.0,47102814.0,29876223.0,20_12_2021
United Kingdom,81959.0,45.0,7589.0,919521.0,51498034.0,47051876.0,28978244.0,19_12_2021
United Kingdom,89074.0,125.0,7435.0,1024833.0,51464883.0,47011972.0,28131778.0,18_12_2021
United Kingdom,92713.0,113.0,7506.0,927697.0,51426554.0,46966074.0,27191172.0,17_12_2021
United Kingdom,87801.0,147.0,7637.0,936480.0,51393664.0,46923788.0,26338651.0,16_12_2021
United Kingdom,77966.0,164.0,7625.0,812044.0,51360987.0,46881291.0,25477345.0,15_12_2021
United Kingdom,59746.0,150.0,7704.0,728681.0,51332920.0,46842497.0,24732162.0,14_12_2021
United Kingdom,53953.0,38.0,7706.0,562800.0,51298838.0,46804609.0,24075451.0,13_12_2021
United Kingdom,48071.0,52.0,7491.0,451044.0,51279167.0,46775202.0,23561729.0,12_12_2021
United Kingdom,52279.0,132.0,7372.0,615528.0,51255850.0,46745007.0,23164197.0,11_12_2021
United Kingdom,58352.0,120.0,7407.0,482986.0,51229559.0,46706023.0,22613944.0,10_12_2021
United Kingdom,50282.0,148.0,7456.0,527342.0,51207496.0,46674061.0,22184983.0,09_12_2021
United Kingdom,50811.0,163.0,7389.0,465782.0,51183457.0,46640237.0,21715504.0,08_12_2021
United Kingdom,45333.0,180.0,7372.0,442937.0,51161757.0,46610800.0,21300859.0,07_12_2021
United Kingdom,51432.0,42.0,7389.0,374156.0,51138245.0,46582425.0,20909809.0,06_12_2021
United Kingdom,43285.0,54.0,7284.0,339286.0,51118266.0,46557413.0,20580644.0,05_12_2021
United Kingdom,41457.0,127.0,7184.0,529328.0,51096311.0,46530247.0,20290479.0,04_12_2021
United Kingdom,50810.0,143.0,7333.0,442053.0,51069397.0,46492449.0,19825863.0,03_12_2021
United Kingdom,53322.0,141.0,7424.0,477734.0,51046133.0,46462638.0,19436885.0,02_12_2021
United Kingdom,47454.0,171.0,7352.0,466235.0,51020285.0,46431662.0,19015975.0,01_12_2021
United Kingdom,40011.0,160.0,7678.0,455285.0,50994257.0,46399306.0,18608124.0,30_11_2021
United Kingdom,42702.0,35.0,7671.0,367154.0,50963718.0,46367149.0,18215535.0,29_11_2021
United Kingdom,36507.0,51.0,7443.0,336273.0,50941327.0,46341057.0,17896864.0,28_11_2021
United Kingdom,39567.0,131.0,7413.0,521785.0,50919834.0,46311612.0,17611529.0,27_11_2021
United Kingdom,49554.0,160.0,7568.0,410741.0,50896026.0,46278746.0,17146418.0,26_11_2021
United Kingdom,46955.0,147.0,7669.0,442483.0,50875712.0,46255081.0,16779656.0,25_11_2021
United Kingdom,42621.0,149.0,7678.0,426964.0,50852133.0,46232258.0,16383575.0,24_11_2021
United Kingdom,42832.0,165.0,7926.0,413976.0,50827554.0,46208819.0,16004629.0,23_11_2021
United Kingdom,45021.0,45.0,8142.0,349941.0,50800732.0,46186817.0,15639477.0,22_11_2021
United Kingdom,39458.0,61.0,8048.0,268311.0,50777474.0,46168300.0,15331311.0,21_11_2021
United Kingdom,39881.0,150.0,7953.0,513270.0,50761050.0,46154408.0,15093316.0,20_11_2021
United Kingdom,44411.0,157.0,8075.0,412575.0,50735037.0,46130215.0,14630252.0,19_11_2021
United Kingdom,46991.0,199.0,8128.0,436587.0,50707953.0,46108608.0,14266368.0,18_11_2021
United Kingdom,38073.0,201.0,8228.0,439633.0,50679073.0,46087958.0,13879311.0,17_11_2021
United Kingdom,36956.0,214.0,8477.0,398862.0,50645981.0,46065838.0,13494890.0,16_11_2021
United Kingdom,39796.0,47.0,8755.0,336683.0,50614550.0,46045964.0,13147333.0,15_11_2021
United Kingdom,36128.0,63.0,8596.0,257335.0,50582504.0,46027909.0,12860751.0,14_11_2021
United Kingdom,37669.0,157.0,8510.0,519837.0,50559566.0,46010861.0,12643402.0,13_11_2021
United Kingdom,39040.0,145.0,8648.0,414160.0,50526039.0,45986536.0,12181417.0,12_11_2021
United Kingdom,42590.0,195.0,8741.0,429857.0,50491701.0,45964488.0,11823643.0,11_11_2021
United Kingdom,39547.0,214.0,8894.0,699192.0,50455318.0,45942003.0,11452654.0,10_11_2021
United Kingdom,32785.0,262.0,8966.0,401329.0,50336130.0,45894237.0,10920416.0,09_11_2021
United Kingdom,32266.0,57.0,9016.0,331498.0,50296294.0,45873038.0,10580122.0,08_11_2021
United Kingdom,29843.0,62.0,8868.0,250335.0,50262735.0,45852677.0,10302544.0,07_11_2021
United Kingdom,30150.0,155.0,8848.0,484130.0,50236895.0,45838067.0,10092659.0,06_11_2021
