,Country_Region,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Last_Update
0,Afghanistan,,33.93911,67.709953,157967,7354,0,1640596874000.0
1,Albania,,41.1533,20.1683,207709,3194,0,1640596874000.0
2,Algeria,,28.0339,1.6596,216637,6238,0,1640596874000.0
3,Andorra,,42.5063,1.5218,21730,139,0,1640596874000.0
4,Angola,,-11.2027,17.8739,71752,1749,0,1640596874000.0
5,Antigua and Barbuda,,17.0608,-61.7964,4236,118,0,1640596874000.0
6,Argentina,,-38.4161,-63.6167,5460042,117035,0,1640596874000.0
7,Armenia,,40.0691,45.0382,344540,7950,0,1640596874000.0
8,Australia,Australian Capital Territory,-35.4735,149.0124,2942,15,0,1640596874000.0
9,Australia,New South Wales,-33.8688,151.2093,137011,652,0,1640596874000.0
10,Australia,Northern Territory,-12.4634,130.8456,444,1,0,1640596874000.0
11,Australia,Queensland,-27.4698,153.0251,5033,7,0,1640596874000.0
12,Australia,South Australia,-34.9285,138.6007,4324,4,0,1640596874000.0
13,Australia,Tasmania,-42.8821,147.3272,434,13,0,1640596874000.0
14,Australia,Victoria,-37.8136,144.9631,159147,1495,0,1640596874000.0
15,Australia,Western Australia,-31.9505,115.8605,1144,9,0,1640596874000.0
16,Austria,,47.5162,14.5501,1264553,13634,0,1640596874000.0
17,Azerbaijan,,40.1431,47.5769,614630,8297,0,1640596874000.0
18,Bahamas,,25.025885,-78.035889,23539,713,0,1640596874000.0
19,Bahrain,,26.0275,50.55,279805,1394,0,1640596874000.0
20,Bangladesh,,23.685,90.3563,1583253,28060,0,1640596874000.0
21,Barbados,,13.1939,-59.5432,27673,260,0,1640596874000.0
22,Belarus,,53.7098,27.9534,693584,5499,0,1640596874000.0
23,Belgium,Antwerp,51.2195,4.4024,294709,0,0,1640596874000.0
24,Belgium,Brussels,50.8503,4.3517,238446,0,0,1640596874000.0
25,Belgium,East Flanders,51.0362,3.7373,253164,0,0,1640596874000.0
26,Belgium,Flemish Brabant,50.9167,4.5833,176676,0,0,1640596874000.0
27,Belgium,Hainaut,50.5257,4.0621,245703,0,0,1640596874000.0
28,Belgium,Liege,50.4496,5.8492,220639,0,0,1640596874000.0
29,Belgium,Limburg,50.9739,5.342,135264,0,0,1640596874000.0
30,Belgium,Luxembourg,50.0547,5.4677,54623,0,0,1640596874000.0
31,Belgium,Namur,50.331,4.8221,97766,0,0,1640596874000.0
32,Belgium,Unknown,,,33028,28149,0,1640596874000.0
33,Belgium,Walloon Brabant,50.4,4.35,77683,0,0,1640596874000.0
34,Belgium,West Flanders,51.0536,3.1458,210410,0,0,1640596874000.0
35,Belize,,17.1899,-88.4976,31503,592,0,1640596874000.0
36,Benin,,9.3077,2.3158,24935,161,0,1640596874000.0
37,Bhutan,,27.5142,90.4336,2660,3,0,1640596874000.0
38,Bolivia,,-16.2902,-63.5887,576602,19546,0,1640596874000.0
39,Bosnia and Herzegovina,,43.9159,17.6791,287276,13269,0,1640596874000.0
40,Botswana,,-22.3285,24.6849,208994,2427,0,1640596874000.0
41,Brazil,Acre,-9.0238,-70.812,88378,1850,0,1640596874000.0
42,Brazil,Alagoas,-9.5713,-36.782,242002,6383,0,1640596874000.0
43,Brazil,Amapa,0.902,-52.003,126649,2015,0,1640596874000.0
44,Brazil,Amazonas,-3.4168,-65.8561,433268,13830,0,1640596874000.0
45,Brazil,Bahia,-12.5797,-41.7007,1268869,27464,0,1640596874000.0
46,Brazil,Ceara,-5.4984,-39.3206,954616,24765,0,1640596874000.0
47,Brazil,Distrito Federal,-15.7998,-47.8645,518878,11095,0,1640596874000.0
48,Brazil,Espirito Santo,-19.1834,-40.3089,628485,13308,0,1640596874000.0
49,Brazil,Goias,-15.827,-49.8362,944716,24673,0,1640596874000.0
50,Brazil,Maranhao,-4.9609,-45.2744,370188,10369,0,1640596874000.0
51,Brazil,Mato Grosso,-12.6819,-56.9211,556456,14040,0,1640596874000.0
52,Brazil,Mato Grosso do Sul,-20.7722,-54.7852,379826,9723,0,1640596874000.0
53,Brazil,Minas Gerais,-18.5122,-44.555,2218695,56613,0,1640596874000.0
54,Brazil,Para,-1.9981,-54.9306,623467,17066,0,1640596874000.0
55,Brazil,Paraiba,-7.24,-36.782,463584,9586,0,1640596874000.0
56,Brazil,Parana,-25.2521,-52.0215,1595075,40877,0,1640596874000.0
57,Brazil,Pernambuco,-8.8137,-36.9541,644093,20409,0,1640596874000.0
58,Brazil,Piaui,-7.7183,-42.7289,334301,7270,0,1640596874000.0
59,Brazil,Rio Grande do Norte,-5.4026,-36.9541,386062,7566,0,1640596874000.0
60,Brazil,Rio Grande do Sul,-30.0346,-51.2177,1500183,36409,0,1640596874000.0
61,Brazil,Rio de Janeiro,-22.9068,-43.1729,1350843,69408,0,1640596874000.0
62,Brazil,Rondonia,-11.5057,-63.5806,283693,6716,0,1640596874000.0
63,Brazil,Roraima,-2.7376,-62.0751,128791,2074,0,1640596874000.0
64,Brazil,Santa Catarina,-27.2423,-50.2189,1239241,20144,0,1640596874000.0
65,Brazil,Sao Paulo,-23.5505,-46.6333,4450315,155096,0,1640596874000.0
66,Brazil,Sergipe,-10.5741,-37.3857,278479,6056,0,1640596874000.0
67,Brazil,Tocantins,-10.1753,-48.2982,234113,3927,0,1640596874000.0
68,Brunei,,4.5353,114.7277,15429,98,0,1640596874000.0
69,Bulgaria,,42.7339,25.4858,734720,30574,0,1640596874000.0
70,Burkina Faso,,12.2383,-1.5616,17040,317,0,1640596874000.0
71,Burma,,21.9162,95.956,529613,19254,0,1640596874000.0
72,Burundi,,-3.3731,29.9189,23657,38,0,1640596874000.0
73,Cabo Verde,,16.5388,-23.0418,39072,352,0,1640596874000.0
74,Cambodia,,11.55,104.9167,120464,3009,0,1640596874000.0
75,Cameroon,,3.848,11.5021,108676,1851,0,1640596874000.0
76,Canada,Alberta,53.9333,-116.5765,346705,3299,0,1640596874000.0
77,Canada,British Columbia,53.7267,-127.6476,235658,2414,0,1640596874000.0
78,Canada,Diamond Princess,,,0,1,0,1608557250000.0
79,Canada,Grand Princess,,,13,0,0,1608557250000.0
80,Canada,Manitoba,53.7609,-98.8139,73573,1370,0,1640596874000.0
81,Canada,New Brunswick,46.5653,-66.4619,11587,152,0,1640596874000.0
82,Canada,Newfoundland and Labrador,53.1355,-57.6604,2512,18,0,1640596874000.0
83,Canada,Northwest Territories,64.8255,-124.8457,2090,12,0,1640596874000.0
84,Canada,Nova Scotia,44.682,-63.7443,9988,111,0,1640596874000.0
85,Canada,Nunavut,70.2998,-83.1076,696,4,0,1640596874000.0
86,Canada,Ontario,51.2538,-85.3232,689840,10199,0,1640596874000.0
87,Canada,Prince Edward Island,46.5107,-63.4168,621,0,0,1640596874000.0
88,Canada,Quebec,52.9399,-73.5491,538205,11667,0,1640596874000.0
89,Canada,Repatriated Travellers,,,13,0,0,1640596874000.0
90,Canada,Saskatchewan,52.9399,-106.4509,82640,945,0,1640596874000.0
91,Canada,Yukon,64.2823,-135.0,1668,14,0,1640596874000.0
92,Central African Republic,,6.6111,20.9394,11961,101,0,1640596874000.0
93,Chad,,15.4542,18.7322,5703,181,0,1640596874000.0
94,Chile,Antofagasta,-23.6509,-70.3975,66714,1285,0,1640596874000.0
95,Chile,Araucania,-38.9489,-72.3311,103728,1553,0,1640596874000.0
96,Chile,Arica y Parinacota,-18.594,-69.4785,29062,546,0,1640596874000.0
97,Chile,Atacama,-27.5661,-70.0503,30702,378,0,1640596874000.0
98,Chile,Aysen,-45.9864,-73.7669,10264,96,0,1640596874000.0
99,Chile,Biobio,-37.4464,-72.1416,166902,2826,0,1640596874000.0
100,Chile,Coquimbo,-29.959,-71.3389,54641,1093,0,1640596874000.0
101,Chile,Los Lagos,-41.9198,-72.1416,98967,1499,0,1640596874000.0
102,Chile,Los Rios,-40.231,-72.3311,53546,717,0,1640596874000.0
103,Chile,Magallanes,-52.368,-70.9863,30086,506,0,1640596874000.0
104,Chile,Maule,-35.5183,-71.6885,109536,1858,0,1640596874000.0
105,Chile,Metropolitana,-33.4376,-70.6505,751245,19921,0,1640596874000.0
106,Chile,Nuble,-36.7226,-71.7622,39377,676,0,1640596874000.0
107,Chile,OHiggins,-34.5755,-71.0022,73085,1628,0,1640596874000.0
108,Chile,Tarapaca,-19.9232,-69.5132,44765,828,0,1640596874000.0
109,Chile,Unknown,,,46,0,0,1640596874000.0
110,Chile,Valparaiso,-33.0472,-71.6127,137614,3624,0,1640596874000.0
111,China,Anhui,31.8257,117.2264,1009,6,0,1640596874000.0
112,China,Beijing,40.1824,116.4142,1208,9,0,1640596874000.0
113,China,Chongqing,30.0572,107.874,610,6,0,1640596874000.0
114,China,Fujian,26.0789,117.9874,1350,1,0,1640596874000.0
115,China,Gansu,35.7518,104.2861,356,2,0,1640596874000.0
116,China,Guangdong,23.3417,113.4244,3427,8,0,1640596874000.0
117,China,Guangxi,23.8298,108.7881,593,2,0,1640596874000.0
118,China,Guizhou,26.8154,106.8748,159,2,0,1640596874000.0
119,China,Hainan,19.1959,109.7453,190,6,0,1640596874000.0
120,China,Hebei,37.8957,114.9042,1458,7,0,1640596874000.0
121,China,Heilongjiang,47.862,127.7615,2035,13,0,1640596874000.0
122,China,Henan,33.882,113.614,1641,22,0,1640596874000.0
123,China,Hong Kong,22.3,114.2,12589,213,0,1640596874000.0
124,China,Hubei,30.9756,112.2707,68316,4512,0,1640596874000.0
125,China,Hunan,27.6104,111.7088,1216,4,0,1640596874000.0
126,China,Inner Mongolia,44.0935,113.9448,1186,1,0,1640596874000.0
127,China,Jiangsu,32.9711,119.455,1624,0,0,1640596874000.0
128,China,Jiangxi,27.614,115.7221,959,1,0,1640596874000.0
129,China,Jilin,43.6661,126.1923,589,3,0,1640596874000.0
130,China,Liaoning,41.2956,122.6085,793,2,0,1640596874000.0
131,China,Macau,22.1667,113.55,77,0,0,1640596874000.0
132,China,Ningxia,37.2692,106.1655,122,0,0,1640596874000.0
